Weatherpy_database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
89,Carutapera,BR,-1.195,-46.02,75.11,92,48,scattered clouds
90,Ilulissat,GL,69.2167,-51.1,42.71,87,98,overcast clouds
91,Muzambinho,BR,-21.3758,-46.5256,66.58,36,31,scattered clouds
92,Karratha,AU,-20.7377,116.8463,72.88,55,89,overcast clouds
93,Mahebourg,MU,-20.4081,57.7,68.29,73,40,light rain
94,Hindaun,IN,26.7167,77.0167,84.13,68,99,overcast clouds
95,Kaeo,NZ,-35.1,173.7833,61.32,61,10,clear sky
96,Correntina,BR,-13.3433,-44.6367,73.18,34,2,clear sky
97,Marsh Harbour,BS,26.5412,-77.0636,82.87,78,99,light rain
98,Cadillac,US,44.2519,-85.4012,76.91,41,1,clear sky
99,Naushahro Firoz,PK,26.8424,68.123,83.26,65,7,clear sky
100,Atuona,PF,-9.8,-139.0333,78.15,65,24,few clouds
101,Georgetown,MY,5.4112,100.3354,79.9,88,20,few clouds
102,Kodiak,US,57.79,-152.4072,63.91,48,1,clear sky
103,Walvis Bay,NA,-22.9575,14.5053,54.09,100,21,few clouds
104,Maarianhamina,AX,60.0973,19.9348,58.86,82,0,clear sky
105,Trairi,BR,-3.2778,-39.2689,78.58,80,42,scattered clouds
106,Montlucon,FR,46.3333,2.6,65.7,80,0,clear sky
107,Norton,ZW,-17.8833,30.7,51.94,71,10,clear sky
108,Jiexiu,CN,37.0244,111.9125,68.43,76,0,clear sky
109,Lazaro Cardenas,MX,17.9583,-102.2,84.24,76,59,broken clouds
110,Cayambe,EC,0.05,-78.1333,56.46,88,82,light rain
111,Alofi,NU,-19.0595,-169.9187,75.09,78,99,overcast clouds
112,Svetlogorsk,BY,52.6333,29.7333,64.22,89,36,scattered clouds
113,Moranbah,AU,-22.0016,148.0466,66.04,67,7,clear sky
114,Airai,TL,-8.9266,125.4092,62.76,69,17,few clouds
115,Antsohihy,MG,-14.8796,47.9875,69.12,56,0,clear sky
116,Kingsland,US,30.8,-81.6898,85.14,74,100,overcast clouds
117,Macau,MO,22.2006,113.5461,82.08,94,40,scattered clouds
118,Auki,SB,-8.7676,160.7034,82.98,72,82,heavy intensity rain
119,Guerrero Negro,MX,27.9769,-114.0611,79.14,62,8,clear sky
120,Egvekinot,RU,66.3167,-179.1667,47.14,61,77,broken clouds
121,Bella Union,UY,-30.2752,-57.6007,56.17,73,5,clear sky
122,Sibu,MY,2.3,111.8167,75.51,100,40,moderate rain
123,Victoria,HK,22.2855,114.1577,82.33,83,44,scattered clouds
124,Bagotville,AU,-28.9833,153.4167,65.64,60,48,scattered clouds
125,Sussex,US,41.1834,-74.6663,79.95,59,1,clear sky
126,Klaksvik,FO,62.2266,-6.589,47.32,74,29,scattered clouds
127,Amga,RU,60.8953,131.9608,69.28,82,96,overcast clouds
128,Saqqez,IR,36.2499,46.2735,71.89,40,1,clear sky
129,Port Alfred,ZA,-33.5906,26.891,59.31,74,0,clear sky
130,Buraydah,SA,26.326,43.975,93.65,18,1,clear sky
131,Sindor,RU,62.8629,51.8905,62.8,69,100,overcast clouds
132,Pudozh,RU,61.8099,36.5345,55.69,92,100,overcast clouds
133,Zaozerne,UA,45.1582,33.2787,70.95,60,22,few clouds
134,Fort Nelson,CA,58.8053,-122.7002,62.19,72,75,shower rain
135,Avarua,CK,-21.2078,-159.775,77.05,73,75,broken clouds
136,Salalah,OM,17.0151,54.0924,74.97,96,100,overcast clouds
137,Luderitz,NA,-26.6481,15.1594,56.52,72,2,clear sky
138,Khatanga,RU,71.9667,102.5,57.87,57,99,overcast clouds
139,Kruisfontein,ZA,-34.0033,24.7314,53.49,61,0,clear sky
140,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,0,clear sky
141,Portland,US,45.5234,-122.6762,100.45,32,0,clear sky
142,Bac Lieu,VN,9.285,105.7244,77.41,86,41,scattered clouds
143,Harper,LR,4.375,-7.7169,75.78,73,24,few clouds
144,Lima,PE,-12.0432,-77.0282,63.9,78,90,overcast clouds
145,Butaritari,KI,3.0707,172.7902,83.32,73,27,scattered clouds
146,Dobryanka,RU,58.4619,56.4165,55.26,79,78,broken clouds
147,Matay,EG,28.419,30.7792,83.48,47,0,clear sky
148,Muzhi,RU,65.3667,64.6667,49.53,80,22,few clouds
149,Damghan,IR,36.1683,54.348,73.36,36,28,scattered clouds
150,Beringovskiy,RU,63.05,179.3167,45.95,91,100,light rain
151,Ostrovnoy,RU,68.0531,39.5131,52.65,99,100,overcast clouds
152,Mayya,RU,61.7333,130.2811,58.32,74,75,broken clouds
153,Askiz,RU,53.1319,90.5264,58.84,93,97,overcast clouds
154,Leshukonskoye,RU,64.8989,45.7622,56.75,89,97,overcast clouds
155,Rakiv Lis,UA,51.6217,24.9243,64.92,81,99,overcast clouds
156,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,75,75,broken clouds
157,Tottori,JP,35.5,134.2333,71.67,94,90,overcast clouds
158,Kainantu,PG,-6.2887,145.8655,66.13,83,100,overcast clouds
159,Erdenet,MN,49.0333,104.0833,58.51,88,100,moderate rain
160,Thompson,CA,55.7435,-97.8558,77.16,38,40,scattered clouds
161,Czarnkow,PL,52.9021,16.5641,64.56,63,100,overcast clouds
162,Clyde River,CA,70.4692,-68.5914,44.65,78,95,overcast clouds
163,Eydhafushi,MV,5.1033,73.0708,81.95,74,93,overcast clouds
164,Naze,JP,28.3667,129.4833,79.72,83,100,overcast clouds
165,Awbari,LY,26.5921,12.7805,81.57,24,0,clear sky
166,Coquimbo,CL,-29.9533,-71.3436,53.33,76,20,few clouds
167,Dingle,PH,10.9995,122.6711,78.69,85,76,light rain
168,Elizabeth City,US,36.2946,-76.2511,81.01,96,98,light rain
169,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,broken clouds
170,Ranong,TH,9.9658,98.6348,76.82,88,100,light rain
171,Yamada,JP,39.4667,141.95,65.8,84,99,overcast clouds
172,Ler,SS,8.3018,30.1418,71.4,90,100,overcast clouds
173,Talgar,KZ,43.3027,77.2395,53.76,82,75,broken clouds
174,Faya,SA,18.3851,42.4509,69.91,61,100,overcast clouds
175,Vao,NC,-22.6667,167.4833,68.49,60,85,overcast clouds
